term,antonyms
антагонизм,союзничество
антагонист,сторонник
антагонистический,союзнический
антагонистично,дружественно
антагонистичность,"дружественность, союзничество"
антагонистичный,союзнический
антивоенный,"военный, милитаристский"
антигуманный,человечный
антиимпериалистический,империалистический
антимилитаристический,"военный, милитаристский"
антимилитаристский,"военный, милитаристский"
антипатичный,симпатичный
антипатия,симпатия
антисимметричность,симметрия
антисимметрия,симметрия
антитеза,"соположение, сопоставление"
антитезис,тезис
антициклон,циклон
античный,современный
апатичный,чувствительный
апатия,"воодушевление, заинтересованность, подъем, увлечение, энтузиазм"
аплодировать,свистать
апогей,низшая точка
апостериорный,априорный
аппроксимативный,точный
априорный,апостериорный
аргументированность,"беспочвенность, голословность, необоснованность, неосновательность"
арендатор,арендодатель
арендодатель,арендатор
арестовать,"освободить, отпустить"
арестовывать,"освободить, освобождать, освободить из-под стражи"
аристократичный,грубый
аритмичный,"мерный, размеренный, ритмический, ритмичный"
аритмия,"нормальный ритм, ритмичность, размеренность, правильность"
арктический,тропический
аромат,вонь
ароматный,"вонючий, зловонный, смрадный"
архаизм,неологизм
арьергард,"авангард, аванпост, фасад, форпост, передовой отряд"
арьергардный,авангардный
асимметричный,"пропорциональный, симметричный"
асимметрия,"симметрия, соизмеримость, соразмерность"
ассемблирование,"разборка, распаковка"
ассемблировать,"разбирать, распаковывать"
ассоциирование,"диссоциация, разбиение, распад, расщепление"
атака,"контратака, оборона"
атаковать,"контратаковать, отражать, охранять, ограждать, оградить, предохранить"
атеизм,"вера, религиозность"
атеистичный,"боголюбивый, культовый, набожный, церковный"
атомарность,сложность
аутентичный,поддельный
афиширование,сокрытие
афишировать,скрывать
баба,мужик
балансировать,разбалансировать
банально,оригинально
банальность,"оригинальность, незаурядность, необыкновенность, нетривиальность, самобытность, феноменальность"
банальный,"оригинальный, беспримерный, особенный, выдающийся, непривычный, своеобразный, специфический, уникальный, необыкновенный, редкий, редкостный, оригинальный, выдающийся, необыкновенный, непривычный, особенный, беспримерный, редкостный, своеобразный, специфический, уникальный, редкий"
банкротство,"преуспеяние, процветание"
барыш,"убыток, расход"
беда,"удача, счастье"
бедлам,порядок
беднеть,"богатеть, обогащаться"
бедно,"богато, состоятельно"
бедность,"состоятельность, богатство, благосостояние, зажиточность, изобилие, состояние, благополучие, роскошь, обеспеченность"
бедные,богачи
бедный,"денежный, богатый, состоятельный, роскошный, зажиточный, насыщенный, состоятельный, денежный, роскошный, зажиточный, насыщенный, богатый, обеспеченный, счастливый"
бедняк,"богач, богатый, богатей, толстосум"
бедственный,благополучный
бедствие,"счастье, везение, веселие, успех"
бедствующий,зажиточный
без(о),[]
безалаберность,"благоразумие, осмотрительность, осторожность"
безапелляционно,нерешительно
безапелляционность,нерешительность
безбедно,"трудно, тяжело, тяжко, нелегко"
безбедный,"неблагополучный, тяжелый, тяжкий"
безвариантный,"многообразный, разный, разносторонний"
безверие,вера
безвестный,"знаменитый, известный"
безвинный,"виноватый, виновный"
безвластие,"власть, руководящее начало"
безвластиее,диктатура
безвозвратный,возвратимый
безвозмездный,платный
безволие,воля
безвольный,"волевой, властный"
безвредный,"вредный, опасный"
безграмотно,грамотно
безграмотность,"грамотность, компетентность"
безграмотный,"грамотный, компетентный"
безграничный,конечный
безгрешный,грешный
бездарно,"талантливо, гениально"
бездарность,"талантливость, талант, одаренность, гениальность, гений, способность, даровитость, дарование, способности"
бездарный,"гениальный, талантливый, даровитый, способный, талантливый, гениальный, одаренный, даровитый, способный, одарённый"
бездарь,талант
бездейственность,действенность
бездействие,"действие, акт, деятельность, работа"
бездействовать,"действовать, работать, функционировать"
бездействующий,"работающий, рабочий, деятельный, действующий"
безделье,"дело, активность, деятельность, занятие, работа"
бездельник,труженик
бездельничанье,активность
бездельничать,"трудиться, работать"
бездеятельно,деятельно
бездеятельность,деятельность
бездеятельный,"деятельный, активный, деловой, инициативный, неугомонный, функционирующий, энергичный, деятельный, деловой, инициативный, активный, энергичный, неугомонный, функционирующий"
бездоказательность,обоснованность
бездорожье,дорога
бездоходность,рентабельность
бездушный,"чуткий, отзывчивый, участливый, внимательный"
безжалостность,сострадательность
безжизненный,живой
беззаконие,"закон, законность"
беззаконно,законно
беззаконность,"законность, соблюдение закона"
беззаконный,"законный, легальный, правовой, правомерный"
беззащитность,защищенность
безмерный,"небольшой, обыкновенный"
безнадежность,надежда
безнравственно,нравственно
безнравственность,нравственность
безнравственный,нравственный
безо,со
безобидный,"вредный, опасный"
безобразие,"красота, краса"
безобразить,красить
безобразно,"красиво, прекрасно"
безобразный,"красивый, прекрасный, прекрасный, красивый"
безоговорочный,сомнительный
безопасность,небезопасность
безопасный,"опасный, вредный"
безоружный,вооруженный
безосновательность,"обоснованность, основательность"
безответственный,ответственный
безотлагательность,несрочность
безотложный,несрочный
безотчетность,сознательность
безошибочность,"неверность, ошибочность"
безраздельность,ограниченность
безразличие,заинтересованность
безразличный,"заинтересованный, неравнодушный"
безрассудно,рассудительно
безрассудный,"рассудительный, благоразумный, продуманный"
безрассудство,рассудительность
безрезультативность,эффективность
безрезультативный,эффективный
безрезультатность,"действенность, плодотворность, результативность, эффективность"
безудержный,умеренный
безукоризненный,"испорченный, несовершенный"
безумие,"разум, ум, разумность"
безумно,разумно
безумный,"умный, разумный"
безупречность,порочность
безусловность,неочевидность
безуспешность,результативность
белизна,чернота
белить,чернить
бело,черно
беловик,черновик
беловой,черновой
белокурый,черноволосый
белый,"красный, черный"
бережливость,"расточительность, расточительство"
бережливый,расточительный
беречь,"потратить, расходовать, тратить, растрачивать, транжирить"
бесконечно,ограниченно
бесконечность,конечность
бесконечный,"конечный, кратковременный, небольшой, ограниченный, короткий"
бесконфликтный,конфликтный
бескорыстный,"корыстолюбивый, корыстный"
беспатентный,запатентованный
бесперебойность,прерывистость
бесплодие,плодородие
бесплодность,"плодотворность, результативность"
бесплодный,"плодотворный, эффективный"
беспокоить,успокаивать
беспокоиться,"успокаиваться, находиться в состоянии покоя"
беспокойно,спокойно
беспокойный,"спокойный, тихий"
беспокойство,"спокойствие, покой"
бесполезно,полезно
бесполезность,"полезность, нужность, утилитарность, эффективность"
бесполезный,"полезный, необходимый, нужный, практичный, целесообразный, эффективный, пригодный, годный, утилитарный, полезный, необходимый, нужный, практичный, годный, утилитарный, целесообразный, эффективный, пригодный"
беспомощность,состоятельность
беспомощный,самостоятельный
беспорядки,спокойствие
беспорядок,порядок
беспорядочность,"порядок, системность"
беспорядочный,"упорядоченный, связный, последовательный"
беспочвенность,"аргументированность, основательность"
бесправный,полноправный
беспредельный,"конечный, ограниченный"
беспрепятственный,"тернистый, трудный"
беспрерывность,прерывистость
беспрестанность,прерывистость
беспримерный,банальный
беспристрастие,"предвзятость, предубежденность, пристрастие, пристрастность, субъективность"
беспристрастно,"предубежденно, предвзято"
беспристрастность,"предвзятость, предубежденность, пристрастность, субъективность"
беспристрастный,"предвзятый, предубежденный, пристрастный, субъективный, тенденциозный, необъективный"
бессвязный,связный
бессилие,"сила, власть, мощь, энергия"
бессильный,"всесильный, сильный, всемогущий"
бессистемный,"регулярный, систематический"
бесславие,"слава, популярность, почесть, честь"
бесславный,"славный, знаменитый, известный"
бессменный,непостоянный
бессмертие,смерть
бессмертный,"смертный, недолговечный, тленный, эфемерный, преходящий"
бессмысленно,осмысленно
бессмысленность,осмысленность
бессмысленный,осмысленный
бессмыслица,смысл
бессовестный,"честный, совестливый"
бессодержательность,наполненность
бессознательно,"сознательно, осмысленно, разумно"
бессознательность,"сознательность, разумность"
бессознательный,"сознательный, обдуманный, осмысленный, осознаваемый, разумный"
бессонница,сон
бесспорность,"неочевидность, неуверенность, опровержимость, сомнительность"
бессрочный,быстротечный
бесстрашие,малодушие
бесстрашный,"малодушный, робкий"
бессчетный,"исчислимый, малочисленный"
бестактный,"тактичный, корректный"
бесталанный,"талантливый, счастливый, успешный"
бестолковый,"толковый, понятливый, сообразительный"
бесформатный,форматированный
бесхитростно,хитро
бесхитростность,хитрость
бесхитростный,хитрый
бесценный,дешевый
бесчеловечно,человечно
бесчеловечность,человечность
